Unnamed: 0,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,stalk_height,cap_diameter,class
1167,sunken,scaly,white,no,anise,descending,distant,broad,pink,tapering,cup,smooth,silky,gray,yellow,partial,brown,two,sheathing,chocolate,clustered,waste,14.27617297,5.054982923,poisonous
1037,sunken,fibrous,red,no,anise,notched,crowded,narrow,chocolate,enlarging,rooted,silky,silky,cinnamon,brown,universal,brown,two,sheathing,brown,numerous,waste,3.952714639,19.0683191,edible
309,flat,grooves,purple,yes,foul,descending,crowded,broad,purple,tapering,cup,scaly,silky,yellow,gray,universal,yellow,two,sheathing,purple,abundant,waste,9.054265313,7.205883714,poisonous
282,bell,scaly,pink,yes,fishy,notched,close,broad,orange,enlarging,club,smooth,scaly,yellow,pink,partial,yellow,two,cobwebby,green,clustered,grasses,5.226498695,20.93269176,poisonous
820,flat,smooth,yellow,yes,musty,free,crowded,narrow,orange,enlarging,missing,fibrous,scaly,gray,white,universal,white,none,none,yellow,clustered,urban,14.03753182,12.54524502,poisonous
389,convex,grooves,pink,no,spicy,attached,crowded,broad,orange,enlarging,club,smooth,smooth,white,yellow,universal,white,one,sheathing,white,scattered,woods,4.337043486,16.18933788,poisonous
330,bell,smooth,brown,no,anise,free,distant,broad,buff,tapering,missing,scaly,smooth,red,red,partial,white,two,flaring,green,scattered,leaves,12.70235895,24.66201529,poisonous
98,conical,fibrous,white,yes,none,notched,close,narrow,black,tapering,equal,scaly,fibrous,yellow,brown,partial,brown,one,large,orange,several,woods,11.9636904,19.40850625,poisonous
597,conical,grooves,green,yes,pungent,attached,crowded,narrow,buff,tapering,club,silky,smooth,buff,pink,universal,yellow,two,evanescent,chocolate,solitary,woods,14.27248994,13.26053663,edible
16,convex,scaly,brown,yes,almond,attached,crowded,broad,red,tapering,bulbous,silky,scaly,buff,red,partial,white,none,zone,green,clustered,leaves,11.84259749,4.216489289,poisonous
243,convex,scaly,buff,yes,fishy,attached,close,broad,purple,enlarging,equal,fibrous,fibrous,red,orange,partial,yellow,none,flaring,green,abundant,urban,3.762968599,2.710012089,edible
